Time (sec),Semi-Major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Argument of Periapsis (deg),True Anomaly (deg),Orbital Energy (km^2/sec^2),Radius_1 (km),Radius_2 (km),Radius_3 (km),Velocity_1 (km/s),Velocity_2 (km/s),Velocity_3 (km/s),Acceleration_1 (km/s^2),Acceleration_2 (km/s^2),Acceleration_3 (km/s^2),Angular_Momemntum_1 (km^2/s),Angular_Momemntum_2 (km^2/s),Angular_Momemntum_3 (km^2/s)
            0.15,     0.9968059125,     0.0164194273,    0.01179465876,      8.993926259,      67.10636549,      33.09592371,    -0.5016021612,    -0.3232196255,     0.9283577612,  0.0001991596376,    -0.9620037894,    -0.3254238696, -3.520809253e-05,     0.1849274621,     -1.016933054, -0.0002127187451,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.16,     0.9968059125,     0.0164194273,    0.01179465876,      8.993926259,      67.10636549,      33.68777001,    -0.5016021612,    -0.3328224831,     0.9250547187,  0.0001987970808,    -0.9585510439,    -0.3351783751, -3.730253772e-05,     0.1848763833,     -1.016652167, -0.0002126599902,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.17,     0.9968059125,     0.0164194273,    0.01179465876,      8.993926259,       67.1063655,      34.27950647,    -0.5016021612,    -0.3423903134,     0.9216543203,  0.0001984136019,    -0.9549983924,     -0.344894895, -3.939247461e-05,     0.1848245262,        -1.016367, -0.0002126003399,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.18,     0.9968059125,     0.0164194273,    0.01179465876,      8.993926259,       67.1063655,      34.87113142,    -0.5016021612,    -0.3519221194,     0.9181569509,  0.0001980092471,      -0.95134628,    -0.3545723862,  -4.14776768e-05,     0.1847718973,     -1.016077589, -0.0002125398018,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.19,     0.9968059125,     0.0164194273,    0.01179465876,      8.993926259,      67.10636551,      35.46264323,    -0.5016021612,     -0.361416909,     0.9145630061,  0.0001975840649,    -0.9475951633,    -0.3642098114, -4.355791867e-05,     0.1847185032,      -1.01578397, -0.0002124783835,  3.212559396e-05, -0.0002029722725,     0.9982670654
             0.2,     0.9968059125,     0.0164194273,    0.01179465876,      8.993926259,      67.10636551,      36.05404026,    -0.5016021612,    -0.3708736942,     0.9108728917,   0.000197138106,    -0.9437455099,    -0.3738061391, -4.563297544e-05,     0.1846643507,      -1.01548618, -0.0002124160929,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.21,     0.9968059125,    0.01641942729,    0.01179465876,      8.993926259,      67.10636552,      36.64532087,    -0.5016021612,    -0.3802914923,     0.9070870237,  0.0001966714234,    -0.9397977987,    -0.3833603439, -4.770262323e-05,     0.1846094466,     -1.015184257, -0.0002123529376,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.22,     0.9968059125,    0.01641942729,    0.01179465876,      8.993926259,      67.10636552,      37.23648347,    -0.5016021612,     -0.389669325,     0.9032058286,  0.0001961840723,    -0.9357525193,    -0.3928714065, -4.976663903e-05,     0.1845537978,      -1.01487824, -0.0002122889258,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.23,     0.9968059125,    0.01641942729,    0.01179465876,      8.993926259,      67.10636553,      37.82752645,    -0.5016021612,    -0.3990062191,     0.8992297428,  0.0001956761101,    -0.9316101726,    -0.4023383139, -5.182480076e-05,     0.1844974113,     -1.014568165, -0.0002122240654,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.24,     0.9968059125,    0.01641942729,    0.01179465876,      8.993926259,      67.10636553,      38.41844824,    -0.5016021612,    -0.4083012066,     0.8951592129,  0.0001951475965,    -0.9273712701,    -0.4117600596, -5.387688729e-05,     0.1844402941,     -1.014254073, -0.0002121583646,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.25,     0.9968059125,    0.01641942729,    0.01179465876,      8.993926259,      67.10636554,      39.00924727,    -0.5016021612,    -0.4175533244,     0.8909946955,  0.0001945985933,    -0.9230363341,    -0.4211356436, -5.592267848e-05,     0.1843824535,     -1.013936002, -0.0002120918315,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.26,     0.9968059125,    0.01641942729,    0.01179465876,      8.993926259,      67.10636554,      39.59992199,    -0.5016021612,    -0.4267616149,     0.8867366572,  0.0001940291647,    -0.9186058974,    -0.4304640723, -5.796195519e-05,     0.1843238966,     -1.013613992, -0.0002120244746,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.27,     0.9968059125,    0.01641942729,    0.01179465876,      8.993926259,      67.10636555,      40.19047087,    -0.5016021612,    -0.4359251258,     0.8823855745,  0.0001934393767,    -0.9140805036,    -0.4397443591, -5.999449934e-05,     0.1842646307,     -1.013288083, -0.0002119563021,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.28,     0.9968059125,    0.01641942729,    0.01179465876,      8.993926259,      67.10636555,      40.78089238,    -0.5016021612,    -0.4450429103,     0.8779419337,  0.0001928292978,    -0.9094607065,    -0.4489755244, -6.202009387e-05,     0.1842046632,     -1.012958317, -0.0002118873226,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.29,     0.9968059125,    0.01641942728,    0.01179465876,      8.993926259,      67.10636556,      41.37118503,    -0.5016021612,    -0.4541140272,      0.873406231,  0.0001921989987,    -0.9047470705,    -0.4581565952, -6.403852284e-05,     0.1841440017,     -1.012624733, -0.0002118175447,  3.212559396e-05, -0.0002029722725,     0.9982670654
             0.3,     0.9968059125,    0.01641942728,    0.01179465876,      8.993926259,      67.10636556,      41.96134731,    -0.5016021612,    -0.4631375408,      0.868778972,   0.000191548552,      -0.89994017,     -0.467286606, -6.604957142e-05,     0.1840826535,     -1.012287374,  -0.000211746977,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.31,     0.9968059125,    0.01641942728,    0.01179465876,      8.993926259,      67.10636557,      42.55137777,    -0.5016021612,    -0.4721125216,     0.8640606723,  0.0001908780326,    -0.8950405898,    -0.4763645982, -6.805302592e-05,     0.1840206263,     -1.011946281, -0.0002116756282,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.32,     0.9968059125,    0.01641942728,    0.01179465876,      8.993926259,      67.10636557,      43.14127493,    -0.5016021612,    -0.4810380457,     0.8592518566,  0.0001901875175,    -0.8900489244,    -0.4853896208, -7.004867382e-05,     0.1839579277,     -1.011601495, -0.0002116035072,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.33,     0.9968059125,    0.01641942728,    0.01179465876,      8.993926259,      67.10636558,      43.73103736,    -0.5016021612,    -0.4899131952,     0.8543530596,  0.0001894770858,    -0.8849657785,    -0.4943607301, -7.203630377e-05,     0.1838945656,     -1.011253061, -0.0002115306228,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.34,     0.9968059125,    0.01641942728,    0.01179465876,      8.993926259,      67.10636558,      44.32066363,    -0.5016021612,    -0.4987370584,     0.8493648249,  0.0001887468188,    -0.8797917667,      -0.50327699, -7.401570568e-05,     0.1838305476,     -1.010901021, -0.0002114569841,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.35,     0.9968059125,    0.01641942728,    0.01179465876,      8.993926259,      67.10636558,      44.91015234,    -0.5016021612,    -0.5075087297,     0.8442877057,  0.0001879967998,    -0.8745275131,    -0.5121374719, -7.598667066e-05,     0.1837658817,     -1.010545417, -0.0002113826001,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.36,     0.9968059125,    0.01641942728,    0.01179465876,      8.993926259,      67.10636559,      45.49950208,    -0.5016021612,    -0.5162273099,     0.8391222644,  0.0001872271142,    -0.8691736514,    -0.5209412552, -7.794899111e-05,     0.1837005759,     -1.010186294,   -0.00021130748,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.37,     0.9968059125,    0.01641942727,    0.01179465876,      8.993926259,      67.10636559,      46.08871149,    -0.5016021612,    -0.5248919062,     0.8338690726,  0.0001864378495,    -0.8637308252,    -0.5296874269, -7.990246072e-05,      0.183634638,     -1.009823696, -0.0002112316328,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.38,     0.9968059125,    0.01641942727,    0.01179465876,      8.993926259,       67.1063656,       46.6777792,    -0.5016021612,    -0.5335016321,      0.828528711,  0.0001856290952,     -0.858199687,    -0.5383750821, -8.184687448e-05,     0.1835680762,     -1.009457666,  -0.000211155068,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.39,     0.9968059125,    0.01641942727,    0.01179465876,      8.993926259,       67.1063656,      47.26670387,    -0.5016021612,    -0.5420556077,      0.823101769,  0.0001848009429,    -0.8525808989,     -0.547003324, -8.378202874e-05,     0.1835008986,      -1.00908825, -0.0002110777947,  3.212559396e-05, -0.0002029722725,     0.9982670654
             0.4,     0.9968059125,    0.01641942727,    0.01179465876,      8.993926259,      67.10636561,      47.85548418,    -0.5016021612,    -0.5505529601,     0.8175888455,  0.0001839534862,    -0.8468751321,    -0.5555712638,  -8.57077212e-05,     0.1834331133,     -1.008715493, -0.0002109998226,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.41,     0.9968059125,    0.01641942727,    0.01179465876,      8.993926259,      67.10636561,       48.4441188,    -0.5016021612,    -0.5589928227,     0.8119905477,  0.0001830868207,    -0.8410830669,     -0.564078021, -8.762375094e-05,     0.1833647286,     -1.008339439, -0.0002109211609,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.42,     0.9968059125,    0.01641942727,    0.01179465876,      8.993926259,      67.10636561,      49.03260647,    -0.5016021612,    -0.5673743361,     0.8063074919,   0.000182201044,    -0.8352053924,    -0.5725227235, -8.952991845e-05,     0.1832957528,     -1.007960135, -0.0002108418193,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.43,     0.9968059125,    0.01641942727,    0.01179465876,      8.993926259,      67.10636562,      49.62094588,    -0.5016021612,    -0.5756966475,      0.800540303,  0.0001812962558,    -0.8292428068,    -0.5809045076, -9.142602565e-05,     0.1832261943,     -1.007577626, -0.0002107618073,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.44,     0.9968059125,    0.01641942727,    0.01179465876,      8.993926259,      67.10636562,       50.2091358,    -0.5016021612,    -0.5839589115,     0.7946896143,  0.0001803725577,    -0.8231960168,    -0.5892225181, -9.331187591e-05,     0.1831560614,     -1.007191959, -0.0002106811347,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.45,     0.9968059125,    0.01641942726,    0.01179465876,      8.993926259,      67.10636563,      50.79717499,    -0.5016021612,    -0.5921602896,      0.788756068,  0.0001794300532,    -0.8170657377,    -0.5974759082, -9.518727407e-05,     0.1830853625,      -1.00680318,  -0.000210599811,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.46,     0.9968059125,    0.01641942726,    0.01179465876,      8.993926259,      67.10636563,      51.38506221,    -0.5016021612,    -0.6002999504,     0.7827403144,  0.0001784688477,    -0.8108526934,    -0.6056638402, -9.705202646e-05,     0.1830141063,     -1.006411335, -0.0002105178462,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.47,     0.9968059125,    0.01641942726,    0.01179465876,      8.993926259,      67.10636563,      51.97279626,    -0.5016021612,      -0.60837707,     0.7766430122,  0.0001774890488,    -0.8045576161,    -0.6137854849, -9.890594095e-05,     0.1829423011,     -1.006016472, -0.0002104352501,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.48,     0.9968059125,    0.01641942726,    0.01179465876,      8.993926259,      67.10636564,      52.56037597,    -0.5016021612,    -0.6163908317,     0.7704648284,  0.0001764907657,    -0.7981812464,     -0.621840022, -0.0001007488269,     0.1828699557,     -1.005618638, -0.0002103520325,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.49,     0.9968059125,    0.01641942726,    0.01179465876,      8.993926259,      67.10636564,      53.14780016,    -0.5016021612,    -0.6243404264,     0.7642064381,  0.0001754741096,    -0.7917243328,      -0.62982664, -0.0001025804953,     0.1827970787,      -1.00521788, -0.0002102682033,  3.212559396e-05, -0.0002029722725,     0.9982670654
             0.5,     0.9968059125,    0.01641942726,    0.01179465876,      8.993926259,      67.10636564,      53.73506767,    -0.5016021612,    -0.6322250524,     0.7578685246,  0.0001744391938,     -0.785187632,    -0.6377445367, -0.0001044007585,     0.1827236787,     -1.004814247, -0.0002101837727,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.51,     0.9968059125,    0.01641942726,    0.01179465876,      8.993926259,      67.10636565,      54.32217739,    -0.5016021612,    -0.6400439157,     0.7514517791,  0.0001733861331,    -0.7785719084,    -0.6455929187, -0.0001062094308,     0.1826497646,     -1.004407786, -0.0002100987505,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.52,     0.9968059125,    0.01641942725,    0.01179465876,      8.993926259,      67.10636565,      54.90912819,    -0.5016021612,    -0.6477962298,     0.7449569006,  0.0001723150444,    -0.7718779343,    -0.6533710021, -0.0001080063279,     0.1825753449,     -1.003998546,  -0.000210013147,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.53,     0.9968059125,    0.01641942725,    0.01179465876,      8.993926259,      67.10636566,      55.49591898,    -0.5016021612,    -0.6554812161,      0.738384596,  0.0001712260464,    -0.7651064897,    -0.6610780117,  -0.000109791267,     0.1825004287,     -1.003586575, -0.0002099269722,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.54,     0.9968059125,    0.01641942725,    0.01179465876,      8.993926259,      67.10636566,      56.08254869,    -0.5016021612,    -0.6630981039,     0.7317355798,  0.0001701192595,     -0.758258362,    -0.6687131822, -0.0001115640672,     0.1824250247,     -1.003171921, -0.0002098402363,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.55,     0.9968059125,    0.01641942725,    0.01179465876,      8.993926259,      67.10636566,      56.66901624,    -0.5016021612,    -0.6706461304,     0.7250105743,  0.0001689948061,    -0.7513343459,    -0.6762757573, -0.0001133245492,     0.1823491418,     -1.002754634, -0.0002097529495,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.56,     0.9968059125,    0.01641942725,    0.01179465876,      8.993926259,      67.10636567,      57.25532062,    -0.5016021612,    -0.6781245406,     0.7182103092,  0.0001678528102,    -0.7443352437,    -0.6837649902, -0.0001150725353,     0.1822727889,     -1.002334763, -0.0002096651222,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.57,     0.9968059125,    0.01641942725,    0.01179465876,      8.993926259,      67.10636567,      57.84146079,    -0.5016021612,    -0.6855325877,     0.7113355215,  0.0001666933976,    -0.7372618646,    -0.6911801437, -0.0001168078495,      0.182195975,     -1.001912356, -0.0002095767646,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.58,     0.9968059125,    0.01641942724,    0.01179465876,      8.993926259,      67.10636567,      58.42743575,    -0.5016021612,     -0.692869533,     0.7043869556,   0.000165516696,    -0.7301150249,      -0.69852049, -0.0001185303177,     0.1821187092,     -1.001487464,  -0.000209487887,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.59,     0.9968059125,    0.01641942724,    0.01179465876,      8.993926259,      67.10636567,      59.01324452,    -0.5016021612,     -0.700134646,     0.6973653634,  0.0001643228347,    -0.7228955478,    -0.7057853111, -0.0001202397673,     0.1820410003,     -1.001060136, -0.0002093984999,  3.212559396e-05, -0.0002029722725,     0.9982670654
