Radius_1,Radius_2,Radius_3,Velocity_1,Velocity_2,Velocity_3,Mass,ARadius_1,ARadius_2,ARadius_3,AVelocity_1,AVelocity_2,AVelocity_3,AMass,Thrust,Time
   -0.9797087952,    -0.2005937173,    2.1578244e-06,      0.193844893,     -1.009516511,   -0.01434828031,     0.9828447253,    -0.5388966633,     -1.320093093,      1.315351735,     0.2928678184,    -0.7771012507,    -0.4222610173,                1,   0.007992303151,                0
   -0.9777214047,    -0.2106786869, -0.0001413226958,     0.2036292647,     -1.007460737,   -0.01434758472,     0.9828447253,    -0.5397809487,     -1.328602315,      1.311064413,     0.2982612692,    -0.7638576912,    -0.4353932065,                1, 6.923414256e-310,             0.01
   -0.9756362906,    -0.2207425991, -0.0002847890918,     0.2133894269,     -1.005305097,   -0.01434545566,     0.9828447253,    -0.5405934467,     -1.337012819,      1.306647208,     0.3036631981,    -0.7505295335,    -0.4484818726,                1,   4.6716247e-310,             0.02
   -0.9734537006,     -0.230784457, -0.0004282270354,     0.2231242577,     -1.003049926,   -0.01434189451,     0.9828447253,    -0.5413411833,     -1.345325135,      1.302100739,     0.3090729223,    -0.7371177622,    -0.4615257198,                1,   4.6716247e-310,             0.03
   -0.9711738936,     -0.240803267, -0.0005716222138,     0.2328326407,     -1.000695569,   -0.01433690291,     0.9828447253,    -0.5420311329,     -1.353540033,      1.297425646,     0.3144898292,    -0.7236233556,    -0.4745234586,                1,            15.78,             0.04
   -0.9687971397,     -0.250798039, -0.0007149603314,     0.2425134653,     -0.998242389,   -0.01433048267,     0.9828447253,    -0.5426702116,     -1.361658519,      1.292622578,     0.3199133754,    -0.7100472829,    -0.4874738061,                1,            15.79,             0.05
   -0.9663237199,    -0.2607677866, -0.0008582271118,     0.2521656267,    -0.9956907613,   -0.01432263585,     0.9828447253,    -0.5432652703,     -1.369681831,      1.287692204,     0.3253430867,    -0.6963905025,    -0.5003754858,                1,             15.8,             0.06
   -0.9637539264,    -0.2707115274,    -0.0010014083,     0.2617880267,    -0.9930410761,    -0.0143133647,     0.9828447253,    -0.5438230878,     -1.377611442,      1.282635205,     0.3307785567,    -0.6826539587,    -0.5132272281,                1,            15.81,             0.07
   -0.9610880622,    -0.2806282826,  -0.001144489666,      0.271379573,    -0.9902937374,   -0.01430267168,     0.9828447253,    -0.5443503645,     -1.385449049,      1.277452278,     0.3362194466,    -0.6688385803,    -0.5260277701,                1,            15.82,             0.08
   -0.9583264414,     -0.290517078,  -0.001287457003,     0.2809391805,    -0.9874491635,   -0.01429055948,     0.9828447253,    -0.5448537158,      -1.39319658,      1.272144134,     0.3416654842,     -0.654945278,    -0.5387758562,                1, 7.167558544e-319,             0.09
   -0.9554693886,    -0.3003769432,  -0.001430296135,     0.2904657705,     -0.984507786,   -0.01427703098,     0.9828447253,    -0.5453396656,     -1.400856182,      1.266711498,      0.347116463,    -0.6409749419,    -0.5514702378,                1, 6.923414256e-310,              0.1
   -0.9525172396,    -0.3102069125,  -0.001572992912,     0.2999582716,    -0.9814700506,   -0.01426208926,     0.9828447253,    -0.5458146396,     -1.408430223,       1.26115511,      0.352572241,    -0.6269284396,    -0.5641096737,                1, 6.923414256e-310,             0.11
   -0.9494703404,    -0.3200060246,   -0.00171553322,     0.3094156197,    -0.9783364163,   -0.01424573763,     0.9828447253,      -0.54628496,     -1.415921288,      1.255475724,     0.3580327402,     -0.612806614,      -0.57669293,                1,   4.6716247e-310,             0.12
   -0.9463290479,    -0.3297733227,  -0.001857902977,     0.3188367581,    -0.9751073557,   -0.01422797958,     0.9828447253,    -0.5467568384,     -1.423332172,      1.249674106,     0.3634979454,    -0.5986102811,    -0.5892187807,                1,   4.6716247e-310,             0.13
   -0.9430937294,    -0.3395078552,  -0.002000088136,     0.3282206376,    -0.9717833544,   -0.01420881881,     0.9828447253,    -0.5472363706,     -1.430665881,      1.243751038,     0.3689679025,    -0.5843402279,    -0.6016860073,                1,            15.88,             0.14
   -0.9397647628,     -0.349208675,   -0.00214207469,     0.3375662173,    -0.9683649113,   -0.01418825924,     0.9828447253,    -0.5477295301,     -1.437925625,      1.237707313,     0.3744427182,    -0.5699972101,    -0.6140933993,                1, 7.165187029e-319,             0.15
   -0.9363425362,    -0.3588748403,  -0.002283848672,     0.3468724639,    -0.9648525381,   -0.01416630496,     0.9828447253,    -0.5482421631,     -1.445114817,      1.231543739,     0.3799225581,    -0.5555819506,    -0.6264397541,                1, 6.923414256e-310,             0.16
   -0.9328274481,    -0.3685054144,  -0.002425396155,     0.3561383526,    -0.9612467593,   -0.01414296027,     0.9828447253,    -0.5487799821,     -1.452237063,      1.225261137,     0.3854076455,    -0.5410951369,    -0.6387238773,                1, 6.923414256e-310,             0.17
   -0.9292199071,     -0.378099466,  -0.002566703257,      0.365362867,    -0.9575481121,   -0.01411822968,     0.9828447253,    -0.5493485611,     -1.459296164,      1.218860338,     0.3908982603,    -0.5265374198,    -0.6509445828,                1,                0,             0.18
    -0.925520332,    -0.3876560689,  -0.002707756144,     0.3745449994,    -0.9537571461,   -0.01409211786,     0.9828447253,    -0.5499533302,     -1.466296108,       1.21234219,     0.3963947373,    -0.5119094109,    -0.6631006929,                1,                0,             0.19
   -0.9217291517,     -0.397174303,  -0.002848541027,     0.3836837507,    -0.9498744233,   -0.01406462972,     0.9828447253,    -0.5505995699,     -1.473241067,      1.205707549,     0.4018974651,     -0.497211681,    -0.6751910383,                1,            15.94,              0.2
   -0.9178468049,    -0.4066532535,  -0.002989044168,      0.392778131,    -0.9459005176,   -0.01403577032,     0.9828447253,     -0.551292407,     -1.480135389,      1.198957286,     0.4074068841,    -0.4824447583,    -0.6872144585,                1,            15.95,             0.21
   -0.9138737402,    -0.4160920114,   -0.00312925188,     0.4018271592,     -0.941836015,   -0.01400554494,     0.9828447253,    -0.5520368087,     -1.486983597,      1.192092283,     0.4129234852,    -0.4676091269,    -0.6991698016,                1,            15.96,             0.22
   -0.9098104161,    -0.4254896738,  -0.003269150531,     0.4108298639,    -0.9376815134,   -0.01397395901,     0.9828447253,    -0.5528375789,     -1.493790384,      1.185113435,     0.4184478082,    -0.4527052245,    -0.7110559247,                1,            15.97,             0.23
   -0.9056573006,    -0.4348453437,  -0.003408726544,      0.419785283,     -0.933437622,   -0.01394101818,     0.9828447253,     -0.553699353,     -1.500560604,      1.178021646,     0.4239804401,    -0.4377334411,    -0.7228716938,                1,            15.98,             0.24
   -0.9014148712,    -0.4441581303,  -0.003547966398,     0.4286924639,    -0.9291049617,   -0.01390672827,     0.9828447253,    -0.5546265936,     -1.507299271,      1.170817833,     0.4295220135,    -0.4226941176,    -0.7346159842,                1,            15.99,             0.25
   -0.8970836152,    -0.4534271491,  -0.003686856632,      0.437550464,    -0.9246841644,   -0.01387109528,     0.9828447253,    -0.5556235867,     -1.514011549,      1.163502924,     0.4350732045,    -0.4075875437,    -0.7462876801,                1,               16,             0.26
    -0.892664029,    -0.4626515219,  -0.003825383847,     0.4463583504,    -0.9201758733,   -0.01383412539,     0.9828447253,    -0.5566944372,     -1.520702751,      1.156077859,     0.4406347314,    -0.3924139569,    -0.7578856754,                1,            16.01,             0.27
   -0.8881566183,    -0.4718303771,  -0.003963534705,     0.4551152006,    -0.9155807423,   -0.01379582495,     0.9828447253,    -0.5578430651,     -1.527378333,      1.148543586,     0.4462073525,    -0.3771735408,    -0.7694088733,                1,            16.02,             0.28
   -0.8835618982,    -0.4809628495,  -0.004101295932,     0.4638201021,     -0.910899436,   -0.01375620051,     0.9828447253,    -0.5590732022,     -1.534043884,      1.140901066,     0.4517918644,    -0.3618664237,    -0.7808561863,                1,            16.03,             0.29
   -0.8788803925,    -0.4900480808,  -0.004238654324,     0.4724721527,    -0.9061326294,   -0.01371525875,     0.9828447253,    -0.5603883878,     -1.540705126,       1.13315127,     0.4573891001,    -0.3464926775,     -0.792226537,                1,            16.04,              0.3
   -0.8741126343,    -0.4990852194,  -0.004375596739,     0.4810862003,    -0.9012922621,   -0.01370032188,     0.9828118255,    -0.5617919662,     -1.547367904,      1.125295177,     0.4629999269,    -0.3310523161,    -0.8035188574,      1.000033537,            16.05,             0.31
    -0.869258535,    -0.5080738647,  -0.004513204591,     0.4897245581,    -0.8964222294,   -0.01382121174,     0.9826144843,    -0.5632870707,     -1.554038179,      1.117333774,     0.4686252445,    -0.3155452944,    -0.8147320895,      1.000235439,            16.06,             0.32
