Time (sec),Semi-Major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Argument of Periapsis (deg),True Anomaly (deg),Orbital Energy (km^2/sec^2),Radius_1 (km),Radius_2 (km),Radius_3 (km),Velocity_1 (km/s),Velocity_2 (km/s),Velocity_3 (km/s),Acceleration_1 (km/s^2),Acceleration_2 (km/s^2),Acceleration_3 (km/s^2),Angular_Momemntum_1 (km^2/s),Angular_Momemntum_2 (km^2/s),Angular_Momemntum_3 (km^2/s)
          0.0023,             7121,            0.063,               45,              360,                0,  0.0001573840884,     -27.98767321,         6672.377,    0.01296009157,    0.01296009157, -2.059228112e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -6.252942912e-18,     -37597.65952,      37597.65952
          0.0024,             7121,            0.063,               45,                0,                0,  0.0001642288591,     -27.98767321,         6672.377,    0.01352357381,    0.01352357381, -2.148759769e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,   3.25418395e-18,     -37597.65952,      37597.65952
          0.0025,             7121,            0.063,               45,                0,                0,  0.0001710724643,     -27.98767321,         6672.377,    0.01408705605,    0.01408705605, -2.238291426e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  7.411390052e-20,     -37597.65952,      37597.65952
          0.0026,             7121,            0.063,               45,              360,                0,  0.0001779129899,     -27.98767321,         6672.377,    0.01465053829,    0.01465053829, -2.327823083e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -2.101902159e-18,     -37597.65952,      37597.65952
          0.0027,             7121,            0.063,               45,              360,              360,   0.000184756696,     -27.98767321,         6672.377,    0.01521402054,    0.01521402054,  -2.41735474e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -3.460401134e-18,     -37597.65952,      37597.65952
          0.0028,             7121,            0.063,               45,              360,                0,  0.0001916013396,     -27.98767321,         6672.377,    0.01577750278,    0.01577750278, -2.506886397e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -8.499085856e-20,     -37597.65952,      37597.65952
          0.0029,             7121,            0.063,               45,                0,              360,  0.0001984449872,     -27.98767321,         6672.377,    0.01634098502,    0.01634098502, -2.596418054e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  7.837791763e-18,     -37597.65952,      37597.65952
           0.003,             7121,            0.063,               45,                0,              360,   0.000205285963,     -27.98767321,         6672.377,    0.01690446726,    0.01690446726, -2.685949711e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  6.243622017e-18,     -37597.65952,      37597.65952
          0.0031,             7121,            0.063,               45,                0,                0,  0.0002121279617,     -27.98767321,         6672.377,     0.0174679495,     0.0174679495, -2.775481368e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  3.151821143e-18,     -37597.65952,      37597.65952
          0.0032,             7121,            0.063,               45,                0,                0,  0.0002189742164,     -27.98767321,         6672.377,    0.01803143175,    0.01803143175, -2.865013025e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  1.910441155e-18,     -37597.65952,      37597.65952
          0.0033,             7121,            0.063,               45,              360,                0,  0.0002258162701,     -27.98767321,         6672.377,    0.01859491399,    0.01859491399, -2.954544682e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -2.202589305e-18,     -37597.65952,      37597.65952
          0.0034,             7121,            0.063,               45,                0,                0,  0.0002326576266,     -27.98767321,         6672.377,    0.01915839623,    0.01915839623, -3.044076339e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  4.503980666e-18,     -37597.65952,      37597.65952
          0.0035,             7121,            0.063,               45,                0,                0,  0.0002395013892,     -27.98767321,         6672.377,    0.01972187847,    0.01972187847, -3.133607996e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  7.965826356e-18,     -37597.65952,      37597.65952
          0.0036,             7121,            0.063,               45,                0,              360,  0.0002463429188,     -27.98767321,         6672.377,    0.02028536071,    0.02028536071, -3.223139653e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  7.996410862e-18,     -37597.65952,      37597.65952
          0.0037,             7121,            0.063,               45,              360,                0,  0.0002531852756,     -27.98767321,         6672.377,    0.02084884296,    0.02084884296,  -3.31267131e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -1.262732386e-18,     -37597.65952,      37597.65952
          0.0038,             7121,            0.063,               45,              360,                0,  0.0002600269926,     -27.98767321,         6672.377,     0.0214123252,     0.0214123252, -3.402202967e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -4.484228172e-19,     -37597.65952,      37597.65952
