Radius_1, Radius_2, Radius_3, Velocity_1, Velocity_2, Velocity_3, Mass, ARadius_1, ARadius_2, ARadius_3, AVelocity_1, AVelocity_2, AVelocity_3, AMass, Time
   -0.5206631054,    -0.8678101939,  -0.001273294391,     0.8759492723,    -0.5392909927,  -0.005061221141,     0.9691740168,     -1.520331013,    -0.3742359342,     -1.253202388,      1.312201414,    -0.4471814792,     0.1292551399,      1.005737846,             0.22
   -0.5118776903,    -0.8731614814,  -0.001323748162,      0.881119353,    -0.5309581989,  -0.005029185499,     0.9689787629,     -1.528775403,    -0.3627124236,     -1.254498881,       1.32744673,    -0.4434967938,     0.1417935461,      1.006028823,             0.23
   -0.5030410069,    -0.8784291936,  -0.001373871214,     0.8862028507,    -0.5225761244,  -0.004995083667,     0.9687835571,     -1.537481744,    -0.3512609126,     -1.255915565,      1.342777795,    -0.4399269907,     0.1543455181,       1.00632287,             0.24
   -0.4941539238,     -0.883612843,  -0.001423643077,     0.8911992171,    -0.5141458062,  -0.004958954321,     0.9685884018,     -1.546453895,     -0.339890064,      -1.25745248,      1.358197251,    -0.4364713067,     0.1669122581,      1.006620038,             0.25
   -0.4852173148,    -0.8887119524,   -0.00147304367,     0.8961079194,    -0.5056682885,  -0.004920835953,     0.9683932995,     -1.555695506,    -0.3286087456,     -1.259109676,      1.373707772,     -0.433128891,     0.1794949687,      1.006920376,             0.26
   -0.4762320593,     -0.893726055,  -0.001522053294,     0.9009284393,    -0.4971446218,  -0.004880766845,     0.9681982527,      -1.56521001,    -0.3174260239,     -1.260887207,       1.38931207,    -0.4298988032,     0.1920948528,      1.007223932,             0.27
   -0.4671990416,    -0.8986546945,  -0.001570652632,     0.9056602743,    -0.4885758634,  -0.004838785036,      0.968003264,     -1.575000617,    -0.3063511569,     -1.262785132,      1.405012892,     -0.426780011,     0.2047131141,      1.007530754,             0.28
   -0.4581191511,    -0.9034974255,  -0.001618822745,     0.9103029365,    -0.4799630765,    -0.0047949283,      0.967808336,     -1.585070305,    -0.2953935871,     -1.264803517,      1.420813013,    -0.4237713891,      0.217350957,      1.007840889,             0.29
   -0.4489932817,    -0.9082538129,  -0.001666545073,     0.9148559539,    -0.4713073304,  -0.004749234125,      0.967613471,     -1.595421816,    -0.2845629338,     -1.266942432,      1.436715238,    -0.4208717163,     0.2300095862,      1.008154384,              0.3
   -0.4398223323,    -0.9129234325,  -0.001713801427,     0.9193188694,    -0.4626096998,  -0.004701739691,     0.9674186718,     -1.606057644,    -0.2738689862,     -1.269201955,      1.452722397,    -0.4180796747,     0.2426902076,      1.008471284,             0.31
   -0.4306072062,    -0.9175058708,  -0.001760573989,     0.9236912416,    -0.4538712651,  -0.004652481857,     0.9672239408,     -1.616980036,    -0.2633216946,     -1.271582166,      1.468837346,    -0.4153938477,     0.2553940276,      1.008791635,             0.32
