Radius_1, Radius_2, Radius_3, Velocity_1, Velocity_2, Velocity_3, Mass, Adjoint Variables...
   -0.9702045676,    -0.2459391139,   0.006461352618,     0.2378839511,    -0.9975324087,     0.0187082273,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.33
   -0.9677773974,    -0.2559020108,   0.006648109647,     0.2475453351,    -0.9950305938,    0.01864287303,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.34
   -0.9652537578,    -0.2658393991,   0.006834203984,     0.2571776581,    -0.9924307527,    0.01857569053,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.35
   -0.9626339447,    -0.2757503004,   0.007019617395,      0.266779835,    -0.9897332761,    0.01850668927,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.36
   -0.9599182652,    -0.2856337405,   0.007204331739,      0.276350787,    -0.9869385685,    0.01843587893,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.37
   -0.9571070367,    -0.2954887491,   0.007388328976,     0.2858894417,    -0.9840470479,    0.01836326947,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.38
   -0.9542005875,    -0.3053143602,   0.007571591165,     0.2953947337,    -0.9810591458,    0.01828887106,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.39
   -0.9511992567,    -0.3151096122,   0.007754100469,     0.3048656044,    -0.9779753069,    0.01821269415,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,              0.4
   -0.9481033937,     -0.324873548,   0.007935839155,     0.3143010023,    -0.9747959893,    0.01813474942,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.41
   -0.9449133584,    -0.3346052153,   0.008116789601,     0.3236998834,     -0.971521664,    0.01805504777,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.42
   -0.9416295212,    -0.3443036662,   0.008296934292,     0.3330612109,    -0.9681528148,    0.01797360034,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.43
   -0.9382522628,    -0.3539679581,   0.008476255826,     0.3423839562,    -0.9646899383,    0.01789041853,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.44
   -0.9347819741,    -0.3635971533,   0.008654736919,     0.3516670981,     -0.961133544,    0.01780551392,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.45
   -0.9312190562,     -0.373190319,   0.008832360401,     0.3609096238,    -0.9574841535,    0.01771889835,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.46
   -0.9275639204,    -0.3827465281,   0.009009109223,     0.3701105288,    -0.9537423008,    0.01763058387,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.47
   -0.9238169877,    -0.3922648586,   0.009184966457,     0.3792688167,     -0.949908532,    0.01754058274,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.48
   -0.9199786894,    -0.4017443942,   0.009359915297,     0.3883834999,    -0.9459834054,    0.01744890745,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.49
   -0.9160494663,    -0.4111842241,   0.009533939067,     0.3974535997,     -0.941967491,    0.01735557069,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,              0.5
   -0.9120297692,    -0.4205834434,   0.009707021216,     0.4064781461,    -0.9378613703,    0.01726058536,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.51
   -0.9079200584,    -0.4299411528,   0.009879145323,     0.4154561783,    -0.9336656364,    0.01716396456,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.52
   -0.9037208039,    -0.4392564594,     0.0100502951,     0.4243867446,    -0.9293808939,     0.0170657216,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.53
   -0.8994324849,    -0.4485284761,    0.01022045439,      0.433268903,    -0.9250077583,    0.01696586999,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.54
   -0.8950555903,     -0.457756322,    0.01038960718,     0.4421017207,    -0.9205468562,    0.01686442341,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.55
    -0.890590618,    -0.4669391227,    0.01055773759,     0.4508842749,     -0.915998825,    0.01676139576,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.56
   -0.8860380754,    -0.4760760102,    0.01072482987,     0.4596156523,    -0.9113643125,     0.0166568011,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.57
   -0.8813984786,    -0.4851661229,    0.01089086844,     0.4682949498,    -0.9066439773,    0.01655065369,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.58
    -0.876672353,    -0.4942086059,    0.01105583782,     0.4769212743,     -0.901838488,    0.01644296795,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.59
   -0.8718602326,    -0.5032026111,    0.01121972272,      0.485493743,    -0.8969485234,     0.0163337585,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,              0.6
   -0.8669626605,    -0.5121472971,    0.01138250796,     0.4940114835,     -0.891974772,    0.01622304012,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             0.61
